drug	status	target	atc	cas
nbi-6024	non			
dp-b99	non			
dp-vpa	non			
cns-5161	non			
ncx 1015	non			
prolease-r-hfsh	non			
g207	non			
lu-31130	non			
parathyroid hormone	approved	PTH2R	H05AA03	9002-64-6
trestolone	non			3764-87-2
ing-1	non			
ppi-1019	non			290828-45-4
oc-1012	non			
ns-3728	non			265646-85-3
ag-702	non			
osi-7836	non			
opc-51803	non			
bg-777	non			
agi-1096	non			
ai-128	non			
ai-850	non			
trans nv-04	non			
nv-07a	non			
mito-4509	non			
humanized smart anti-il-12 antibody	non			
ncx 950	non			
biomed 101	non			
cryopreserved human liver cells	non			
clx-0921	non			
rivanicline	non			15585-43-0
cpd 923	non			
q-derp1	non			
bi-k0376	non			
pi-166	non			
peginterferon alfacon-1	non			
tasquinimod	non			254964-60-8
trx1	non			
ppi-2458	non			
vit-100	non			
etc-1001	non			
99mtc-14 f7 mab	non			
ciluprevir	non			300832-84-2
ethyl pyruvate	non			617-35-6
anti-alpha5beta1-integrin antibody	non			
uc-781	non			178870-32-1
avi-4020	non			
aeol 10150	non			
sar9, met (o2)11-substance p	non			110880-55-2
ame-527	non			
mbt-0312	non			
eht 0202	non			
chf 4227	non			
abx-pth	non			
hcv-086	non			
seletracetam	non	SV2A,CACNA1B		357336-74-4
nv-18	non			
tafa-93	non			
mem 1414	non			
inotuzumab ozogamicin	approved	CD22	L01XC26	635715-01-4
veglin	non			1220118-27-3
ri 624	non			
gt 389-255	non			
hgs-tr2j	non			
sirna-027	non			
rhigfbp-3	non			
cere-110	non			
it-101	non			
kos-1584	non			350493-61-7
blx-883	non			
td-2749	non			
ccr5 mab	non			
rus 3108	non			
ren-850	non			
osi-930	non			728033-96-3
myo-029	non			
ct-011	non			
ls11	non			
ddp-200	non			
rta 744	non			
nlx-p101	non			
dovitinib	non			405169-16-6
gpi-0100	non			
sb-559448	non			
pegdinetanib	non			906450-24-6
denibulin	non			284019-34-7
ctce-0214	non			577782-52-6
cvt-6883	non			752222-83-6
edonerpic	non			519187-23-6
mk-0354	non			851776-28-8
leronlimab	non			674782-26-4
gi-5005	non			1001913-27-4
resatorvid	non			243984-11-4
varlitinib	non			845272-21-1
mdx-1303	non			915947-57-8
contulakin-g	non			229180-41-0
evt-101	non			1189088-41-2
enmd-1198	non			864668-87-1
ppl-100	non			612547-11-2
amitifadine	non			410074-73-6
tas-108	non			229634-97-3
anz-100	non			
pr-104	non			851627-62-8
sns-032	non			345627-80-7
archexin	non			
inosine 5'-sulfate	non			70023-32-4
transcrocetinate	non			27876-94-4
bardoxolone methyl	non			218600-53-4
raf-265	non			927880-90-8
obeticholic acid	approved	NR1H4	A05AA04	459789-99-2
plinabulin	non			714272-27-2
prx-07034	non			903580-39-2
glembatumumab vedotin	non			1182215-65-1
adomiparin	non			9005-49-6
amg-222	non			913978-37-7
aldoxorubicin	non	TOP2A		1361644-26-9
eteplirsen	approved		M09AX06	1173755-55-9
cariprazine	approved	DRD3,DRD2,HTR1A,HTR2B,HTR2A,HRH1	N05AX15	839712-12-8
av-412	non			451493-31-5
glycopeg-gcsf	non			
pa-1050040	non			
filanesib	non			885060-09-3
zen-012	non			
olaratumab	approved	PDGFRA	L01XC27	1024603-93-7
trofinetide	non			853400-76-7
iph 2101	non			1000676-42-5
tb-402	non			
xtl-6865	non			
azd-8330	non			869357-68-6
cam-2029	non			
kai-1455	non			
xmt-1001	non			
snx-5422	non			908115-27-5
dts-201	non			
cts-21166	non	BACE1		
linsitinib	non			867160-71-2
lumateperone	approved	HTR2A,DRD2,SLC6A4,GRIN2B		313368-91-1
abt-869	non			
caplacizumab	approved		B01AX07	915810-67-2
px-478	non			685898-44-6
tapinarof	non			79338-84-4
friulimicin b	non			239802-15-4
ica-105665	non			
bradanicline	non			639489-84-2
evofosfamide	non			918633-87-1
abt-560	non			
apatorsen	non			1002331-21-6
nxn-188	non			
gsk-923295	non			
prlx 93936	non			
imc-1c11	non			
vx-148	non			
ait-034	non			138117-48-3
ykp-1358	non			
ab192	non			
3,4-methylenedioxy-n-isopropylamphetamine	non			74698-37-6
eldelumab	non			946414-98-8
1alpha,24s-dihydroxyvitamin d2	non			156316-85-7
cenobamate	approved			913088-80-9
l-aminocarnityl-succinyl-leucyl-argininal-diethylacetal	non			1006685-44-4
bisegliptin	non			862501-61-9
svv-001	non			
fav-201	non			
dimethylcurcumin	non	AR		52328-98-0
sns-314	non			1057249-41-8
tirbanibulin	approved	SRC,TUBB		897016-82-9
irl-1620	non			142569-99-1
suvn-502	non			701205-60-9
sertindole	approved	DRD2,HTR2A,HTR2C,HTR6	N05AE03	106516-24-9
spiramycin	approved		J01RA04	24916-50-5
sulfathiazole	approved		J01EB07	72-14-0
mianserin	approved		N06AX03	24219-97-4
teicoplanin	approved		J01XA02	61036-62-2
sulfadimethoxine	approved		J01ED01	122-11-2
acetylcysteine	approved	GSS,SLC7A11	R05CB01	616-91-1
nylidrin	approved	IFNAR2	C04AA02	447-41-6
pizotifen	approved		N02CX01	15574-96-6
pentaerythritol tetranitrate	approved	HBA1,HBB	C01DA55	78-11-5
rimonabant	approved	CNR1	A08AX01	168273-06-1
tesofensine	non			195875-84-4
istaroxime	non			203737-93-3
rubitecan	non			91421-42-0
garenoxacin	non		J01MA19	194804-75-6
opebacan	non			206254-79-7
lumiliximab	non			357613-86-6
plevitrexed	non			153537-73-6
fosdevirine	non			1018450-26-4
canakinumab	approved	IL1B	L04AC08	914613-48-2
indibulin	non			204205-90-3
paclitaxel trevatide	non			1075214-55-9
noscapine	approved		R05DA07	128-62-1
romidepsin	approved	HDAC1,HDAC2	L01XX39	128517-07-7
glufosfamide	non			132682-98-5
talotrexin	non			113857-87-7
darinaparsin	non			69819-86-9
tg1024	non			
imo-2055	non			847484-35-9
talabostat	non			149682-77-9
aeg35156	non			
forodesine	non			209799-67-7
ipilimumab	approved	CTLA4	L01XC11	477202-00-9
valtorcitabine	non			380886-95-3
ispinesib	non			336113-53-2
solabegron	non			252920-94-8
zosuquidar	non	ABCB1		167354-41-8
nimotuzumab	non			780758-10-3
pixantrone	approved		L01DB11	144510-96-3
elocalcitol	non			199798-84-0
seliciclib	non			186692-46-6
icatibant	approved	BDKRB2	B06AC02	130308-48-4
bimosiamose	non			187269-40-5
alovudine	non			25526-93-6
atrasentan	non			173937-91-2
tedisamil	non		C01BD06	90961-53-8
rufinamide	approved		N03AF03	106308-44-5
lasofoxifene	approved	ESR1,ESR2	G03XC03	180916-16-9
alogliptin	approved	DPP4	A10BD13	850649-61-5
tapentadol	approved	OPRM1,SLC6A2	N02AX06	175591-23-8
hyaluronidase (human recombinant)	approved			757971-58-7
sugammadex	approved		V03AB35	343306-71-8
silodosin	approved	ADRA1A	G04CA04	160970-54-7
prasugrel	approved	P2RY12	B01AC22	150322-43-3
eltrombopag	approved		B02BX05	496775-61-2
doripenem	approved		J01DH04	148016-81-3
tolvaptan	approved	AVPR2	C03XA01	150683-30-0
regadenoson	approved	ADORA2A	C01EB21	313348-27-5
ferumoxytol	approved			722492-56-0
asenapine	approved	HTR2A,DRD2	N05AH05	65576-45-6
vernakalant	approved	SCN5A,KCNA5,KCND3	C01BG11	794466-70-9
lacosamide	approved		N03AX18	175481-36-4
dalbavancin	approved		J01XA04	171500-79-1
alicaforsen	non			185229-68-9
hmr4011	non			
nelipepimut-s	non			160212-35-1
rivaroxaban	approved	F10	B01AF01	366789-02-8
ocaperidone	non			129029-23-8
nalmefene	approved	OPRM1,OPRK1,OPRD1	N07BB05	55096-26-9
caldaret	non			133804-44-1
ridaforolimus	non		L01XE19	572924-54-0
maribavir	non		J05AX10	176161-24-3
vadimezan	non			117570-53-3
elvucitabine	non			181785-84-2
avanafil	approved	PDE5A	G04BE10	330784-47-9
tipapkinogene sovacivec	non			1052105-48-2
tariquidar	non			206873-63-4
clenoliximab	non			
eflornithine	approved	ODC1	P01CX03	70052-12-9
trafermin	non			131094-16-1
lanoteplase	non			171870-23-8
exisulind	non			59973-80-7
cx516	non			154235-83-3
amelubant	non			346735-24-8
arzoxifene	approved			182133-25-1
fluasterone	non			112859-71-9
dersalazine	non			188913-58-8
thioctic acid tromethamine	non			137314-40-0
incadronic acid	non			124351-85-5
rpsgl-ig	non			
he-2200	non			2697-85-0
bimoclomol	non			130493-03-7
aviptadil	non			40077-57-4
hexaminolevulinate	approved		V04CX06	140898-97-1
droxidopa	approved	ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3	C01CA27	23651-95-8
amrubicin	non		L01DB10	110267-81-7
tolperisone	non		M03BX04	728-88-1
lonidamine	non		L01XX07	50264-69-2
udenafil	approved	PDE5A	G04BE11	268203-93-6
sitaxentan	approved	EDNRA	C02KX03	184036-34-8
mahdl01	non			
sulodexide	approved	SERPIND1,SERPINC1	B01AB11	57821-29-1
maxacalcitol	non			103909-75-7
tocilizumab	approved	IL6R	L04AC07	375823-41-9
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
alvimopan	non			
alvimopan	approved	OPRM1	A06AH02	156053-89-3
tanomastat	non			179545-77-8
senicapoc	non			289656-45-7
torcetrapib	non	CETP		262352-17-0
calcium	non			
levocetirizine	non			
levocetirizine	approved	HRH1	R06AE09	130018-77-8
ziconotide	approved	CACNA1B	N02BG08	107452-89-1
teriparatide	approved		H05AA02	52232-67-4
temsirolimus	approved	MTOR	L01XE09	162635-04-3
amisulpride	approved	DRD2,HTR7	N05AL05	71675-85-9
simeprevir	approved		G01AE10	923604-59-5
dapagliflozin	approved	SLC5A2	A10BK01	461432-26-8
pegnivacogin	non			959716-28-0
semuloparin	non			
pramiconazole	non			219923-85-0
lx-2931	non			948840-25-3
hydronidone	non			851518-71-3
glesatinib	non			936694-12-1
otilimab	non			1638332-55-4
biib015	non			
sonepcizumab	non			1031360-18-5
onalespib	non			912999-49-6
apoptone	non			183387-50-0
refametinib	non			923032-37-5
motavizumab	non		J06BB17	677010-34-3
darapladib	non			356057-34-6
bnc105	non			945772-45-2
sgx-523	non			1022150-57-7
elotuzumab	approved	SLAMF7	L01XC23	915296-00-3
ave9633	non			
r-348	non			916742-11-5
carotuximab	non			1268714-50-6
azx-100	non			1217194-46-1
xmab 2513	non			
pegpleranib	non			1618657-13-8
latiglutenase	non			1360452-96-5
methoxyamine	non			67-62-9
4-o-demethylpenclomedine	non			176046-79-0
trodusquemine	non			186139-09-3
tucidinostat	non			1616493-44-7
saxagliptin	approved	DPP4	A10BD21	361442-04-8
elsiglutide	non			914009-84-0
coltuximab ravtansine	non			1269764-99-9
teprotumumab	approved			1036734-93-6
ar-9281	non			913548-29-5
fiboflapon	non			936350-00-4
cenisertib	non			871357-89-0
elinogrel	non			936500-94-6
tezampanel	non			154652-83-2
acy001	non			
trc093	non			
iclaprim	non		J01EA03	192314-93-5
lucatumumab	non			903512-50-5
rspsma vaccine	approved			
becatecarin	non			119673-08-4
xr5944	non			343247-32-5
sapacitabine	non			151823-14-2
pertuzumab	approved	ERBB2	L01XC13	380610-27-5
relacatib	non			362505-84-8
alamifovir	non			193681-12-8
indisulam	non			165668-41-7
siplizumab	non			288392-69-8
rilonacept	approved		L04AC04	501081-76-1
elacestrant	non			722533-56-4
chgn111	non			
calcitonin gene-related peptide	non			83652-28-2
xaliproden	non		N07XX03	135354-02-8
riferminogene pecaplasmid	non			1001859-46-6
abafungin	non			129639-79-8
nicaraven	non			79455-30-4
atacicept	non			845264-92-8
vitespen	non			492448-75-6
bazedoxifene	approved	ESR1	G03XC02	198481-32-2
telavancin	approved		J01XA03	372151-71-8
ambrisentan	approved	EDNRA	C02KX02	177036-94-1
human c1-esterase inhibitor	approved	C1R,C1S,KLKB1,F12,F11,PLAT	B06AC01	
eprodisate	non			21668-77-9
idraparinux	non			162610-17-5
taribavirin	non			119567-79-2
morphine glucuronide	non			20290-10-2
doxercalciferol	approved		H05BX03	54573-75-0
oxymetholone	approved	AR	A14AA05	434-07-1
armodafinil	approved	SLC6A3	N06BA13	112111-43-0
etravirine	approved		J05AG04	269055-15-4
calfactant	approved			183325-78-2
cethromycin	non			205110-48-1
annamycin	non			92689-49-1
declopramide	non			891-60-1
ticalopride	non			202590-69-0
endostatin	non			187888-07-9
talnetant	non	TACR3		174636-32-9
evernimicin	non			109545-84-8
tezacitabine	non			171176-43-5
repifermin	non			219527-63-6
tarazepide	non			141374-81-4
semaxanib	non			194413-58-6
tifacogin	non			148883-56-1
tyloxapol	approved	LPL	R05CA01	25301-02-4
ravuconazole	non			182760-06-1
cangrelor	approved	P2RY12	B01AC25	163706-06-7
avasimibe	non			166518-60-1
dexanabinol	non			112924-45-5
diethylnorspermine	non			121749-39-1
dotarizine	non			84625-59-2
e5531	non			162679-36-9
lonafarnib	approved	FNTA,FNTB		193275-84-2
ilodecakin	non			149824-15-7
aprinocarsen	non			151879-73-1
mirostipen	non			244130-01-6
sarizotan	non			351862-32-3
meclinertant	non			146362-70-1
tecastemizole	non			75970-99-9
remacemide	non			128298-28-2
enrasentan	non			167256-08-8
squalamine	non			148717-90-2
mitumomab	non			216503-58-1
ir502	non			
ir501	non			
fk-960	non			133920-70-4
apolizumab	non			267227-08-7
cariporide	non			159138-80-4
lestaurtinib	non			111358-88-4
clomethiazole	non		N05CX04	533-45-9
naxifylline	non			166374-49-8
fradafiban	non			148396-36-5
sibrotuzumab	non			
ruplizumab	non			220651-94-5
sumanirole	non			179386-43-7
porfiromycin	non			801-52-5
propentofylline	non		N06BC02	55242-55-2
prucalopride	approved	HTR4	A06AX05	179474-81-8
manitimus	non			202057-76-9
algrx 1207	non			
ropidoxuridine	non			93265-81-7
enzastaurin	non			170364-57-5
liatermin	non			188630-14-0
mirococept	non			507453-82-9
velafermin	non			697766-75-9
sufugolix	non			308831-61-0
onercept	non			199685-57-9
dextrin 2-sulfate	non			142985-55-5
aplaviroc	non			461443-59-4
l523s	non			
furaprofen	non			67700-30-5
mln2222	non			
s-8510	non			
repinotan	non			144980-29-0
gw-559090	non			278598-52-0
muraglitazar	non			331741-94-7
amgn-0007	non			
deramciclane	non			120444-71-5
resiniferatoxin	non			57444-62-9
r-1487	non			449811-92-1
edaglitazone	non			213411-83-7
ertiprotafib	non			251303-04-5
levovirin	non			206269-27-4
ganstigmine	non			457075-21-7
tramiprosate	non			3687-18-1
ocinaplon	non			96604-21-6
resiquimod	non			144875-48-9
pafuramidine	non			186953-56-0
ragaglitazar	non			222834-30-2
thrombopoietin	non			9014-42-0
etilevodopa	non		N04BA06	37178-37-3
tesaglitazar	non			251565-85-2
robalzotan	non			169758-66-1
astaxanthin	non			472-61-7
gavilimomab	non			244096-20-6
minodronic acid	non	FDPS,GGPS1		180064-38-4
labradimil	non			159768-75-9
bivatuzumab	non			
rnapc2	non			
gaboxadol	non			64603-91-4
siramesine	non			147817-50-3
edifoligide	non			476273-48-0
lerdelimumab	non			285985-06-0
tezosentan	non			180384-57-0
lanimostim	non			117276-75-2
pascolizumab	non			331243-22-2
emfilermin	non			159075-60-2
alpha-hydroxy glycineamide	non			
p-57as3	non			384329-61-7
rebimastat	non			259188-38-0
valomaciclovir	non			195157-34-7
baminercept	non			909110-25-4
tonabersat	non			175013-84-0
adipiplon	non	GABRA1		840486-93-3
celgosivir	non			121104-96-9
bevirimat	non			174022-42-5
dextofisopam	non			82059-50-5
tg4010	non			350485-85-7
fipamezole	non			150586-58-6
cetilistat	non			282526-98-1
mitemcinal	non			154738-42-8
triphendiol	non			1213777-80-0
pazopanib	approved	FLT1,KDR,FLT4,PDGFRA,PDGFRB,KIT	L01XE11	444731-52-6
ceftaroline fosamil	approved		J01DI02	229016-73-3
pegargiminase	non			1394129-74-8
agomelatine	approved	HTR2C,MTNR1A,MTNR1B	N06AX22	138112-76-2
midostaurin	approved	PRKCA,KDR,PDGFRA,PDGFRB,FLT3	L01XE39	120685-11-2
estradiol sulfamate	non			172377-52-5
brostallicin	non			203258-60-0
lexatumumab	non			845816-02-6
nemonoxacin	non		J01MB08	378746-64-6
reslizumab	approved	IL5	R03DX08	241473-69-8
panobinostat	approved	HDAC1	L01XX42	404950-80-7
ilepatril	non			473289-62-2
apixaban	approved	F10	B01AF02	503612-47-3
teplizumab	non			876387-05-2
catumaxomab	approved	FCGR2A,FCGR3A,FCGR3B,CD3E,FCGR1A	L01XC09	509077-98-9
tafenoquine	approved		P01BA07	106635-80-7
odiparcil	non			137215-12-4
omiganan	non			204248-78-2
pegsunercept	non			330988-75-5
mepolizumab	approved	IL5	R03DX09	196078-29-2
peramivir	approved		J05AH03	330600-85-6
bosutinib	non			
bosutinib	approved	BCR,ABL1	L01XE14	380843-75-4
cutamesine	non			165377-43-5
amdoxovir	non			145514-04-1
aplindore	non			189681-70-7
7-beta-hydroxyepiandrosterone	non			25848-69-5
flupirtine	non		N02BG07	56995-20-1
taranabant	non			701977-09-5
vipadenant	non			442908-10-3
axitinib	approved	FLT1,KDR,FLT4	L01XE17	319460-85-0
zibotentan	non			186497-07-4
anacetrapib	non			875446-37-0
n-chlorotaurine	non			51036-13-6
casopitant	non		A04AD13	414910-27-3
otamixaban	non			193153-04-7
isavuconazonium	approved			742049-41-8
dalfampridine	approved	KCNA1,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNA10,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCND1,KCND2,KCND3	N07XX07	504-24-5
quarfloxin	non			865311-47-3
fispemifene	non			341524-89-8
perifosine	non			157716-52-4
bevasiranib	non			959961-96-7
denosumab	approved	TNFSF11	M05BX04	615258-40-7
anamorelin	non			249921-19-5
volociximab	non			558480-40-3
priralfinamide	non			133865-88-0
ofatumumab	approved	MS4A1	L01XC10	679818-59-8
diapep 277	non			179822-83-4
vicriviroc	non			306296-47-9
safinamide	approved	MAOB	N04BD03	133865-89-1
liraglutide	approved	GLP1R	A10AE56	204656-20-2
tas-106	non			180300-43-0
valrocemide	non			92262-58-3
rostaporfin	non			284041-10-7
saredutant	non			142001-63-6
abetimus	non		L04AA22	167362-48-3
pasireotide	approved		H01CB05	396091-73-9
lixivaptan	non			168079-32-1
arverapamil	non			123932-43-4
odanacatib	non			603139-19-1
almorexant	non			871224-64-5
golimumab	approved	TNF	L04AB06	476181-74-5
clazosentan	non			180384-56-9
esmirtazapine	non			61337-87-9
amediplase	non			151912-11-7
asoprisnil	non			199396-76-4
belatacept	approved	CD86,CD80	L04AA28	706808-37-9
naproxcinod	non		M01AE18	163133-43-5
clevudine	non		J05AF12	163252-36-6
vilazodone	approved	SLC6A4	N06AX24	163521-12-8
laquinimod	non		N07XX10	248281-84-7
sipuleucel-t	approved	ACP3	L03AX17	917381-47-6
ethanolamine oleate	approved		C05BB01	2272-11-9
nitrous oxide	approved		N01AX13	10024-97-2
calcium	non			
mepyramine	non			
mepyramine	approved	HRH1	D04AA02	91-84-9
phylloquinone	non			
calcium	non			
aprotinin	non			
aprotinin	approved		B02AB01	9087-70-1
mevastatin	non	HMGCR		73573-88-3
xylometazoline	approved	ADRA1A,ADRA2A,ADRA2B	R01AB06	526-36-3
dabigatran etexilate	approved	F2	B01AE07	211915-06-9
histidine	non			
adenosine phosphate	non			
methionine	non			
leucine	non			
threonine	non			
alanine	non			
valine	non			
isoleucine	non			
atp	non			
proline	non			
asparagine	non			
guanosine-5'-monophosphate	non			
cytidine-5'-triphosphate	non			
uridine monophosphate	non			
d-serine	non			
pyrophosphoric acid	non			
arbekacin	non			
arbekacin	non		J01GB12	51025-85-5
nadh	non			
mesoheme	non			
uridine-5'-diphosphate	non			
formaldehyde	non			
artemether	non			
artemether	approved		P01BF01	71963-77-4
calcium	non			
betahistine	non			
betahistine	approved	HRH1,HRH3	N07CA01	5638-76-6
degarelix	approved	GNRHR	L02BX02	214766-78-6
nadh	non			
venlafaxine	non			
mesoheme	non			
formaldehyde	non			
desvenlafaxine	non			
desvenlafaxine	approved	SLC6A2,SLC6A4	N06AX23	93413-62-8
dexmethylphenidate	approved	SLC6A3,SLC6A2	N06BA11	40431-64-9
fesoterodine	approved	CHRM3	G04BD11	286930-02-7
gadobutrol	approved		V08CA09	770691-21-9
iobenguane	approved		V09IX01	80663-95-2
gadofosveset trisodium	approved		V08CA11	193901-90-5
isometheptene	approved	ADRA1A,SLC18A2	A03AX10	503-01-5
levonordefrin	approved	ADRA2A		829-74-3
lumefantrine	approved		P01BF01	82186-77-4
methacholine	approved	CHRM3	V04CX03	55-92-5
methyltestosterone	approved	AR	G03BA02	58-18-4
naphazoline	approved	ADRA2A,ADRA1A	R01AB02	835-31-4
nilvadipine	approved	CACNA1C,CACNA2D1,CACNB2	C08CA10	75530-68-6
norelgestromin	approved	PGR	G03AA13	53016-31-2
propylhexedrine	approved	SLC18A2		101-40-6
potassium iodide	approved		S01XA04	7681-11-0
fospropofol	approved	GABRB2,GABRB3		258516-89-1
fosaprepitant	approved			172673-20-0
stanozolol	approved	AR	A14AA02	10418-03-8
buserelin	approved	LHCGR,GNRHR	L02AE01	57982-77-1
velaglucerase alfa	approved		A16AB10	884604-91-5
gimatecan	non			292618-32-7
aluminum hydroxide	approved		A02AB02	21645-51-2
calcium carbonate	approved		A02AC01	471-34-1
glutamic acid	non			
glutathione	non			
dinoprostone	non			
calcium	non			
magnesium cation	non			
zinc	non			
prostaglandin d2	non			
mesoheme	non			
prostaglandin g2	non			
arachidonic acid	non			
lornoxicam	non			
lornoxicam	approved	PTGS1,PTGS2	M01AC05	70374-39-9
bufuralol	non			54340-62-4
sparteine	non		C01BA04	90-39-1
aniline	non			62-53-3
sulfaphenazole	approved		S01AB05	526-08-9
gestodene	non	PGR	G03AA10	60282-87-3
nadh	non			
fluoxetine	non			
mesoheme	non			
formaldehyde	non			
seproxetine	non			
nadh	non			
atp	non			
norepinephrine	non			
fluoxetine	non			
dopamine	non			
potassium cation	non			
calcium	non			
mesoheme	non			
formaldehyde	non			
seproxetine	non			
seproxetine	non			126924-38-7
beta-naphthoflavone	non			6051-87-2
bafilomycin a1	non	ATP6V1A		88899-55-2
bafilomycin b1	non	ATP6V1A		88899-56-3
enclomiphene	non			15690-57-0
aceclofenac	approved	PTGS2,PTGS1	M01AB16	89796-99-6
zaltoprofen	non			74711-43-6
atp	non			
norepinephrine	non			
dopamine	non			
potassium cation	non			
calcium	non			
ketobemidone	non			
ketobemidone	non	OPRM1,OPRK1,OPRD1	N02AB01	469-79-4
seratrodast	non		R03DX06	112665-43-7
